[2023/01/19 21:03:25] - Namespace(batch_size=128, epochs=10, attack='fgsm', epsilon=0.3, alpha=0.375, attack_iters=40, lr_max=0.005, lr_type='cyclic', seed=0)
[2023/01/19 21:03:25] - Epoch 	 Time 	 LR 	 	 Train Loss 	 Train Acc
[2023/01/19 21:50:54] - 7 	 9.6 	 0.0017 	 0.0114 	 0.9964
[2023/01/19 21:51:04] - 8 	 10.2 	 0.0008 	 0.0066 	 0.9982
[2023/01/19 21:51:13] - 9 	 9.0 	 0.0000 	 0.0039 	 0.9993
[2023/01/19 22:41:41] - Namespace(batch_size=128, epochs=30, attack='pgd', epsilon=0.3, alpha=0.375, attack_iters=40, lr_max=0.005, lr_type='cyclic', seed=0)
[2023/01/19 22:41:41] - Epoch 	 Time 	 LR 	 	 Train Loss 	Train Acc
[2023/01/19 22:43:01] - 0 	     80.1 	 0.0004 	 2.0355 	    0.1085
[2023/01/19 22:44:08] - 1 	    66.9 	 0.0008 	 1.3026 	    0.3136
[2023/01/19 22:45:13] - 2 	    65.6 	 0.0013 	 0.9649 	    0.4611
[2023/01/19 22:46:24] - 3 	    71.0 	 0.0017 	 0.6848 	    0.6372
[2023/01/19 22:47:31] - 4 	    66.2 	 0.0021 	 0.4895 	    0.7419
[2023/01/19 22:48:36] - 5 	    65.8 	 0.0025 	 0.4130 	    0.7775
[2023/01/19 22:49:44] - 6 	    68.0 	 0.0029 	 0.3406 	    0.8142
[2023/01/19 22:50:52] - 7 	    67.9 	 0.0033 	 0.2847 	    0.8423
[2023/01/19 22:51:52] - 8 	    60.1 	 0.0038 	 0.2498 	    0.8638
[2023/01/19 22:52:59] - 9 	    66.3 	 0.0042 	 0.2324 	    0.8726
[2023/01/19 22:54:01] - 10 	    62.7 	 0.0046 	 0.2260 	    0.8748
[2023/01/19 22:55:04] - 11 	    62.1 	 0.0050 	 0.2204 	    0.8780
[2023/01/19 22:56:10] - 12 	    66.8 	 0.0047 	 0.2160 	    0.8803
[2023/01/19 22:57:28] - 13 	    77.9 	 0.0044 	 0.2070 	    0.8847
[2023/01/19 22:58:33] - 14 	    64.6 	 0.0042 	 0.1998 	    0.8893
[2023/01/19 22:59:42] - 15 	    68.9 	 0.0039 	 0.1911 	    0.8930
[2023/01/19 23:00:45] - 16 	    63.2 	 0.0036 	 0.1881 	    0.8964
[2023/01/19 23:01:56] - 17 	    71.3 	 0.0033 	 0.1832 	    0.8983
[2023/01/19 23:02:56] - 18 	    59.2 	 0.0031 	 0.1803 	    0.9000
[2023/01/19 23:04:03] - 19 	    67.4 	 0.0028 	 0.1774 	    0.9019
[2023/01/19 23:05:07] - 20 	    64.4 	 0.0025 	 0.1732 	    0.9040
[2023/01/19 23:06:14] - 21 	    67.1 	 0.0022 	 0.1694 	    0.9057
[2023/01/19 23:07:16] - 22 	    61.8 	 0.0019 	 0.1644 	    0.9088
[2023/01/19 23:08:19] - 23 	    63.1 	 0.0017 	 0.1632 	    0.9097
[2023/01/19 23:09:25] - 24 	    65.2 	 0.0014 	 0.1599 	    0.9121
[2023/01/19 23:10:32] - 25 	    67.0 	 0.0011 	 0.1555 	    0.9137
[2023/01/19 23:11:42] - 26 	    70.6 	 0.0008 	 0.1523 	    0.9159
[2023/01/19 23:12:43] - 27 	    60.6 	 0.0006 	 0.1493 	    0.9186
[2023/01/19 23:13:53] - 28 	    70.0 	 0.0003 	 0.1478 	    0.9195
[2023/01/19 23:14:58] - 29 	    65.0 	 0.0000 	 0.1439 	    0.9218
[2023/01/19 23:47:39] - Namespace(batch_size=128, epochs=10, none='pgd', epsilon=0.3, alpha=0.375, attack_iters=40, lr_max=0.005, lr_type='cyclic', seed=0)
[2023/01/19 23:47:40] - Epoch 	 Time 	 LR 	 	 Train Loss 	 Train Acc
[2023/01/19 23:48:13] - Namespace(batch_size=128, epochs=30, attack='none', epsilon=0.3, alpha=0.375, attack_iters=40, lr_max=0.005, lr_type='cyclic', seed=0)
[2023/01/19 23:48:13] - Epoch 	 Time 	 LR 	 	 Train Loss 	 Train Acc
[2023/01/19 23:48:26] - 0 	 12.6 	 0.0004 	 1.1180 	 0.6859
[2023/01/19 23:48:36] - 1 	 9.9 	 0.0008 	 0.1550 	 0.9546
[2023/01/19 23:48:45] - 2 	 9.5 	 0.0013 	 0.0853 	 0.9742
[2023/01/19 23:48:55] - 3 	 9.4 	 0.0017 	 0.0624 	 0.9808
[2023/01/19 23:49:04] - 4 	 8.9 	 0.0021 	 0.0492 	 0.9845
[2023/01/19 23:49:13] - 5 	 8.9 	 0.0025 	 0.0414 	 0.9862
[2023/01/19 23:49:21] - 6 	 8.5 	 0.0029 	 0.0338 	 0.9889
[2023/01/19 23:49:29] - 7 	 8.5 	 0.0033 	 0.0301 	 0.9905
[2023/01/19 23:49:38] - 8 	 8.9 	 0.0038 	 0.0276 	 0.9914
[2023/01/19 23:49:47] - 9 	 9.0 	 0.0042 	 0.0258 	 0.9915
[2023/01/19 23:49:57] - 10 	 9.1 	 0.0046 	 0.0235 	 0.9923
[2023/01/19 23:50:06] - 11 	 9.2 	 0.0050 	 0.0235 	 0.9924
[2023/01/19 23:50:16] - 12 	 9.8 	 0.0047 	 0.0221 	 0.9925
[2023/01/19 23:50:33] - Namespace(batch_size=128, epochs=10, attack='none', epsilon=0.3, alpha=0.375, attack_iters=40, lr_max=0.005, lr_type='cyclic', seed=0)
[2023/01/19 23:50:33] - Epoch 	 Time 	 LR 	 	 Train Loss 	 Train Acc
[2023/01/19 23:50:46] - 0 	 12.8 	 0.0013 	 0.7435 	 0.7938
[2023/01/19 23:50:56] - 1 	 10.4 	 0.0025 	 0.0930 	 0.9716
[2023/01/19 23:51:06] - 2 	 9.4 	 0.0037 	 0.0570 	 0.9828
[2023/01/19 23:51:15] - 3 	 9.3 	 0.0050 	 0.0469 	 0.9847
[2023/01/19 23:51:24] - 4 	 9.0 	 0.0042 	 0.0341 	 0.9890
[2023/01/19 23:51:33] - 5 	 9.4 	 0.0033 	 0.0244 	 0.9919
[2023/01/19 23:51:44] - 6 	 10.5 	 0.0025 	 0.0171 	 0.9947
[2023/01/19 23:51:53] - 7 	 9.4 	 0.0017 	 0.0117 	 0.9962
[2023/01/19 23:52:03] - 8 	 9.5 	 0.0008 	 0.0065 	 0.9984
[2023/01/19 23:52:12] - 9 	 9.3 	 0.0000 	 0.0038 	 0.9993
